image_index,true_positive_rate,false_positive_rate,true_negative_rate,false_negative_rate,accuracy,precision,recall
150,0.8568793803024715,0.003379012577435705,0.9966209874225643,0.1431206196975286,0.9807262431076449,0.9485504287464271,0.8568793803024715
151,0.03473885960709152,0.0015072852118573103,0.9984927147881427,0.9652611403929084,0.8167595224559409,0.7286432160804021,0.03473885960709152
152,0.15978221415607985,0.027607244995233555,0.9723927550047664,0.8402177858439202,0.5447787610619469,0.7524786324786324,0.15978221415607985
153,0.9271199687377882,0.2766429243381266,0.7233570756618733,0.0728800312622118,0.9541092519685039,0.5354321823516136,0.9271199687377882
154,0.7617446023651947,0.062144690251112626,0.9378553097488874,0.23825539763480524,0.8909713775041581,0.785874188493396,0.7617446023651947
155,0.8907381615598886,0.5060842433697348,0.4939157566302652,0.10926183844011142,0.890252859091386,0.49641013699693404,0.8907381615598886
156,0.9455411844792376,0.131084460976079,0.8689155390239209,0.05445881552076242,0.9736205759507585,0.6709064562872323,0.9455411844792376
157,0.9791427308882015,0.06801464179884957,0.9319853582011505,0.0208572691117985,0.9876714117800706,0.8502686108979278,0.9791427308882015
158,0.9405549750377337,0.3034058686717431,0.6965941313282569,0.05944502496226634,0.9669560166510698,0.45965728551974583,0.9405549750377337
159,0.6194526055357972,0.15545880177735366,0.8445411982226464,0.3805473944642029,0.867858676975945,0.43453736847814295,0.6194526055357972
160,0.9827155351936693,0.6226774248536848,0.3773225751463151,0.017284464806330696,0.9908620499834856,0.17716624117735397,0.9827155351936693
161,0.7689148163581165,0.09128916857032024,0.9087108314296798,0.23108518364188343,0.8140982664495738,0.8591286997006984,0.7689148163581165
162,0.2779849865445446,0.0073330145066156545,0.9926669854933844,0.7220150134554554,0.445453721330795,0.9770992366412213,0.2779849865445446
163,0.7659516202647193,0.11075916681012223,0.8892408331898778,0.2340483797352807,0.8696724019620301,0.7228635423845624,0.7659516202647193
164,0.7400646510743487,0.026884660775452634,0.9731153392245474,0.2599353489256513,0.9323819652264239,0.8064649813510153,0.7400646510743487
165,0.8366633366633367,0.05855571345860308,0.9414442865413969,0.16333666333666333,0.9828355466904625,0.42948717948717946,0.8366633366633367
166,0.9699096640020797,0.157884045016861,0.842115954983139,0.030090335997920322,0.9746835443037974,0.7934077618288145,0.9699096640020797
167,0.9571621101270696,0.029616371741186007,0.970383628258814,0.0428378898729303,0.9775070764253943,0.9189463955637708,0.9571621101270696
168,0.7911016303519732,0.13676466190148637,0.8632353380985136,0.20889836964802683,0.9254850807109082,0.531694828469022,0.7911016303519732
169,0.8665335903083701,0.036078831658291455,0.9639211683417085,0.13346640969162996,0.9054607508532423,0.9319662422268286,0.8665335903083701
170,0.9509345794392523,0.35328061551613593,0.6467193844838641,0.04906542056074766,0.9906326667162293,0.15587897357334354,0.9509345794392523
171,0.9454764132032607,0.14801488452194236,0.8519851154780577,0.05452358679673928,0.9770754319426885,0.5951379542395693,0.9454764132032607
172,0.8561748263594783,0.2024583912789915,0.7975416087210084,0.14382517364052178,0.8660672030288689,0.7706226175349428,0.8561748263594783
173,0.6312780726827276,0.10036465158680417,0.8996353484131958,0.3687219273172724,0.9056500274273176,0.4674225245653817,0.6312780726827276
174,0.8485585272664119,0.11438269443172329,0.8856173055682767,0.15144147273358805,0.9759049461177121,0.3652264912542981,0.8485585272664119
175,0.9617425300195476,0.05819477434679335,0.9418052256532067,0.03825746998045239,0.9857154028621328,0.7828162291169452,0.9617425300195476
176,0.8098349381017882,0.19798687477829016,0.8020131252217099,0.19016506189821183,0.829202378194734,0.7598816886259747,0.8098349381017882
177,0.9769924535247562,0.0900280614458877,0.9099719385541123,0.02300754647524388,0.9932456164050468,0.6304038004750594,0.9769924535247562
178,0.9231833910034603,0.2147866744593805,0.7852133255406195,0.07681660899653979,0.9731673415120565,0.42062115718114457,0.9231833910034603
179,0.9505649717514124,0.1399383632005479,0.8600616367994521,0.04943502824858757,0.9861350838968903,0.4899635985439418,0.9505649717514124
180,0.999138302455838,0.566860362739919,0.433139637260081,0.0008616975441619991,0.9991636698168437,0.4187281066050341,0.999138302455838
181,0.8309090909090909,0.21919165580182529,0.7808083441981747,0.1690909090909091,0.9824930191698302,0.1402270635164161,0.8309090909090909
182,0.8493653032440056,0.040872308325332604,0.9591276916746674,0.15063469675599436,0.9726462452617559,0.6689624527882693,0.8493653032440056
183,0.9653062867262336,0.3992457482684846,0.6007542517315154,0.0346937132737664,0.9707011998232555,0.5213459699156595,0.9653062867262336
184,0.8300114755088482,0.11443508568109208,0.8855649143189079,0.1699885244911518,0.7489351263352735,0.9721288862165317,0.8300114755088482
185,0.9063291139240506,0.20708446866485014,0.7929155313351499,0.09367088607594937,0.9710772376056042,0.39194879568805796,0.9063291139240506
186,0.7106976744186047,0.09801849405548217,0.9019815059445179,0.28930232558139535,0.9662982228001734,0.2917143948071783,0.7106976744186047
187,0.7437395659432388,0.04733538985214339,0.9526646101478566,0.25626043405676124,0.9683782252665191,0.5002807411566536,0.7437395659432388
188,0.9118712273641851,0.02814874050379848,0.9718512594962015,0.0881287726358149,0.9888159742614202,0.6821192052980133,0.9118712273641851
189,0.9819848293299621,0.4055368636629608,0.5944631363370392,0.01801517067003793,0.984350869968084,0.5284687672747375,0.9819848293299621
190,0.9489755557313504,0.603546677537709,0.3964533224622911,0.05102444426864963,0.9203875705866017,0.7297946768060837,0.9489755557313504
191,0.8913159296750133,0.12060960574980982,0.8793903942501902,0.10868407032498668,0.9885412570915014,0.2667836070802105,0.8913159296750133
192,0.6908790755262072,0.24014336917562723,0.7598566308243727,0.3091209244737928,0.9093659244917716,0.28396946564885495,0.6908790755262072
193,0.9263294422827497,0.6115645317471297,0.3884354682528704,0.07367055771725033,0.9687551570493427,0.1390792958404736,0.9263294422827497
194,0.920973348783314,0.1198768689533861,0.8801231310466139,0.07902665121668598,0.929395931466432,0.8536140049403931,0.920973348783314
195,0.8191826522101752,0.12956087111745804,0.8704391288825419,0.18081734778982486,0.8874905939437971,0.730205932644413,0.8191826522101752
196,0.7410506741050674,0.3425717984623108,0.6574282015376892,0.2589493258949326,0.959624515240477,0.10947802197802198,0.7410506741050674
197,0.8588781707752768,0.22163382704766002,0.77836617295234,0.1411218292247231,0.9754276827371695,0.22574889661001032,0.8588781707752768
198,0.9329760031471283,0.6061838893409276,0.3938161106590724,0.06702399685287175,0.9074143259858031,0.6141520732852103,0.9329760031471283
199,0.9425699928212491,0.04639477022148502,0.953605229778515,0.057430007178750894,0.9442356045706889,0.9508094967154606,0.9425699928212491
200,0.9180149063806581,0.005103800262087041,0.994896199737913,0.08198509361934193,0.9557344064386318,0.9855581576893052,0.9180149063806581
201,0.8988535653305146,0.1509544215037008,0.8490455784962991,0.10114643466948532,0.8761048726439759,0.9048496009821977,0.8988535653305146
202,0.9643507676294562,0.13449677794064774,0.8655032220593523,0.03564923237054385,0.9922322390429211,0.43248920527482787,0.9643507676294562
203,0.9782737215489211,0.3828037762663689,0.6171962237336311,0.021726278451078922,0.9731906744885863,0.7247344793605606,0.9782737215489211
204,0.9290248124639354,0.1395980871246766,0.8604019128753234,0.07097518753606463,0.9929271728817458,0.23158803222094362,0.9290248124639354
205,0.2457627118644068,0.15395835429031285,0.8460416457096872,0.7542372881355932,0.9895466290815128,0.009385113268608414,0.2457627118644068
206,0.9550048907727421,0.03302055261534465,0.9669794473846554,0.044995109227257905,0.9789831713074599,0.8962668298653611,0.9550048907727421
207,0.9884266499843604,0.5456076950248621,0.4543923049751379,0.011573350015639663,0.9962920278598988,0.1359724612736661,0.9884266499843604
208,0.8326180257510729,0.21912641134609098,0.780873588653909,0.16738197424892703,0.9975099760574621,0.02177817691962281,0.8326180257510729
209,0.9646378782726963,0.06061316607069582,0.9393868339293042,0.03536212172730364,0.989092815941269,0.7328855592870059,0.9646378782726963
210,0.741504854368932,0.05064655172413793,0.9493534482758621,0.25849514563106796,0.9148255523342997,0.7428571428571429,0.741504854368932
211,0.5739404869251578,0.056524083393242275,0.9434759166067578,0.4260595130748422,0.6734482311779189,0.890054186331061,0.5739404869251578
212,0.8844731977818854,0.19233005603129294,0.8076699439687071,0.11552680221811461,0.9848360780032147,0.20824719834620825,0.8844731977818854
213,0.9053681710213777,0.06653095843935539,0.9334690415606446,0.09463182897862232,0.9489688740873575,0.8293298520452568,0.9053681710213777
214,0.9093032308291163,0.38638058631174343,0.6136194136882566,0.09069676917088361,0.9654763668691658,0.2575239775107485,0.9093032308291163
215,0.9575802286978975,0.16884335863123173,0.8311566413687683,0.042419771302102546,0.9931990892693456,0.2919478182636077,0.9575802286978975
216,0.7740082079343366,0.3326399510553686,0.6673600489446314,0.22599179206566347,0.8926505945805445,0.34224534236631987,0.7740082079343366
217,0.7786561264822134,0.06707112430618303,0.932928875693817,0.22134387351778656,0.9851387930576934,0.2749092938878035,0.7786561264822134
218,0.9644846440799223,0.4548480250599579,0.5451519749400421,0.03551535592007767,0.9557353034838545,0.6700749103560905,0.9644846440799223
219,0.5970823202500868,0.11760411190935109,0.882395888090649,0.40291767974991316,0.8788290288042201,0.460549229738781,0.5970823202500868
220,0.9868780754510662,0.5814017660044151,0.418598233995585,0.013121924548933843,0.9849074401603585,0.4947069101373805,0.9868780754510662
221,0.6884892086330935,0.011965811965811967,0.9880341880341881,0.31151079136690646,0.9783342923619625,0.6744186046511628,0.6884892086330935
222,0.9153038975197602,0.5443847733375454,0.4556152266624546,0.08469610248023984,0.90945842590232,0.49351555898453286,0.9153038975197602
223,0.9214586255259467,0.06405869238347073,0.9359413076165293,0.0785413744740533,0.9940490422677399,0.34715984147952444,0.9214586255259467
224,0.8282510328546134,0.6002806655783716,0.39971933442162844,0.1717489671453866,0.9123185858484407,0.16726261422328167,0.8282510328546134
225,0.9186900056465274,0.20467249969619639,0.7953275003038036,0.08130999435347261,0.9659564407931677,0.491355228388071,0.9186900056465274
226,0.9170693686671862,0.4551138901295221,0.5448861098704779,0.08293063133281371,0.9578563789757198,0.27791950113378683,0.9170693686671862
227,0.68860103626943,0.09680395387149918,0.9031960461285008,0.31139896373056997,0.8500012479097512,0.6934154231451529,0.68860103626943
228,0.9499440089585667,0.1639845510138397,0.8360154489861603,0.05005599104143337,0.9747114731839783,0.6247606422153483,0.9499440089585667
229,0.9888015717092338,0.18209255533199195,0.817907444668008,0.011198428290766208,0.9934263637412063,0.6495869901910171,0.9888015717092338
230,0.7848324514991182,0.19513545004369356,0.8048645499563064,0.21516754850088182,0.9293183859100258,0.3991389362274643,0.7848324514991182
231,0.8547871567630394,0.10684607760920942,0.8931539223907906,0.14521284323696063,0.8979997958975405,0.8076183939601922,0.8547871567630394
232,0.9971213668864333,0.6073346789367452,0.39266532106325475,0.002878633113566719,0.9972169853667295,0.37689094801867257,0.9971213668864333
233,0.9621905884486354,0.10669289979634808,0.8933071002036519,0.03780941155136459,0.9776563253496222,0.7744289571626651,0.9621905884486354
234,0.8867304243873282,0.07685382222949746,0.9231461777705026,0.11326957561267184,0.9798200308822747,0.5129668049792531,0.8867304243873282
235,0.7727645611156686,0.05172636084680642,0.9482736391531936,0.22723543888433143,0.9855242873193802,0.31953867028493893,0.7727645611156686
236,0.9554933084344849,0.06291439516723148,0.9370856048327685,0.044506691565515094,0.9705640181144504,0.8778953388618816,0.9554933084344849
